gene_name,gene_biotype,chromosome,strand,transcript_count
RP11-632K21.3,processed_pseudogene,chr7,-,1
ATP5LP2,processed_pseudogene,chr6,-,1
VDAC1P9,processed_pseudogene,chr1,-,1
FTLP2,processed_pseudogene,chrX,+,1
RP5-882O7.4,processed_pseudogene,chr1,-,1
AF241726.2,processed_pseudogene,chrX,+,1
MTCYBP3,processed_pseudogene,chr13,+,1
GPR79,processed_pseudogene,chr3,-,1
RPL29P28,processed_pseudogene,chr13,-,1
RP11-308D16.1,processed_pseudogene,chrX,-,1
ZDHHC20P4,processed_pseudogene,chr13,+,1
AC010677.5,processed_pseudogene,chr7,+,1
RPS3AP25,processed_pseudogene,chr7,-,1
SKA2P1,processed_pseudogene,chr9,+,1
RP11-134K13.2,processed_pseudogene,chr6,-,1
NDUFA5P1,processed_pseudogene,chr11,+,1
RANP2,processed_pseudogene,chr7,+,1
AC002366.3,processed_pseudogene,chrX,-,1
RPL5P6,processed_pseudogene,chr1,+,1
RAD17P1,processed_pseudogene,chr7,-,1
RP11-511I11.1,processed_pseudogene,chr2,-,1
RP11-641C17.2,processed_pseudogene,chr3,-,1
AC019185.3,processed_pseudogene,chr2,+,1
RP11-678B3.1,processed_pseudogene,chr7,+,1
KNOP1P4,processed_pseudogene,chr6,+,1
RPL21P131,processed_pseudogene,chr19,-,1
RPL31P15,processed_pseudogene,chr2,+,1
GXYLT1P3,processed_pseudogene,chr9,+,1
RP11-487I5.4,processed_pseudogene,chr10,+,1
RPL18AP7,processed_pseudogene,chr3,-,1
MTND5P3,processed_pseudogene,chr13,+,1
RP11-3J10.7,processed_pseudogene,chr9,+,1
BMPR1APS2,processed_pseudogene,chr11,-,1
RP11-195C7.2,processed_pseudogene,chr1,-,1
RP11-337A23.5,processed_pseudogene,chr9,-,1
TMA16P2,processed_pseudogene,chr1,-,1
EEF1B2P3,processed_pseudogene,chrX,-,1
AC010900.2,processed_pseudogene,chr2,+,1
RP4-654C18.1,processed_pseudogene,chr1,+,1
RP11-18B3.2,processed_pseudogene,chr9,+,1
MFAP1P1,processed_pseudogene,chr13,-,1
SAPCD2P3,processed_pseudogene,chr7,+,1
NPM1P13,processed_pseudogene,chr7,-,1
RPL12P11,processed_pseudogene,chr20,+,1
RPL3P12,processed_pseudogene,chrX,+,1
ADIPOR1P1,processed_pseudogene,chr10,+,1
RP11-512F24.1,processed_pseudogene,chr1,+,1
AC073464.7,processed_pseudogene,chr2,-,1
CYCSP8,processed_pseudogene,chr2,+,1
MRPL45P1,processed_pseudogene,chr2,-,1
RP11-329A14.2,processed_pseudogene,chr1,-,1
SS18L2P1,processed_pseudogene,chr10,+,1
VDAC1P13,processed_pseudogene,chr2,-,1
AC027612.1,processed_pseudogene,chr2,-,1
RPL36P19,processed_pseudogene,chr13,+,1
SRD5A1P1,processed_pseudogene,chrX,+,1
MTCO1P14,processed_pseudogene,chr1,-,1
CLK2P1,processed_pseudogene,chr7,-,1
AC092570.4,processed_pseudogene,chr2,-,1
TPMTP3,processed_pseudogene,chrX,-,1
CRB3P1,processed_pseudogene,chr3,-,1
RPL23AP35,processed_pseudogene,chr2,-,1
RPL3P4,processed_pseudogene,chr14,-,1
RP11-137D19.1,processed_pseudogene,chrX,+,1
CTC-303L1.1,processed_pseudogene,chr5,+,1
RP11-85L21.5,processed_pseudogene,chrX,-,1
EEF1A1P3,processed_pseudogene,chr13,+,1
RP1-161N10.1,processed_pseudogene,chrX,-,1
RP11-393N4.1,processed_pseudogene,chr3,-,1
HMGN2P11,processed_pseudogene,chr7,+,1
TIMM9P2,processed_pseudogene,chr21,+,1
CCT6P4,processed_pseudogene,chr3,+,1
RPL31P35,processed_pseudogene,chr7,+,1
CTD-2012J19.1,processed_pseudogene,chr5,+,1
RP11-484D4.3,processed_pseudogene,chr1,-,1
RPL23AP31,processed_pseudogene,chr2,+,1
AC021876.4,processed_pseudogene,chr7,+,1
PRPS1P2,processed_pseudogene,chr9,+,1
MTND2P23,processed_pseudogene,chr2,+,1
NEFLP1,processed_pseudogene,chrY,-,1
RP11-344N10.4,processed_pseudogene,chr10,+,1
POLR3KP1,processed_pseudogene,chr13,-,1
FAM136BP,processed_pseudogene,chr6,+,1
AC092638.1,processed_pseudogene,chr2,+,1
LDHBP1,processed_pseudogene,chr13,+,1
RP3-477M7.6,processed_pseudogene,chr1,+,1
LARP1BP3,processed_pseudogene,chrX,+,1
PHBP10,processed_pseudogene,chrX,-,1
AC010967.1,processed_pseudogene,chr2,+,1
ACTG1P21,processed_pseudogene,chr1,-,1
ADH5P2,processed_pseudogene,chr1,+,1
SPTLC1P4,processed_pseudogene,chr1,+,1
RPL12P9,processed_pseudogene,chr21,-,1
TCEB1P17,processed_pseudogene,chrY,+,1
BDH2P1,processed_pseudogene,chr6,+,1
RPL21P108,processed_pseudogene,chr13,-,1
RP3-437C15.1,processed_pseudogene,chr6,-,1
MARK2P9,processed_pseudogene,chr10,+,1
AC010733.5,processed_pseudogene,chr2,-,1
MTND3P8,processed_pseudogene,chr1,-,1
AC016831.6,processed_pseudogene,chr7,-,1
GAPDHP48,processed_pseudogene,chr2,-,1
AC013399.3,processed_pseudogene,chr2,+,1
YWHAEP1,processed_pseudogene,chr7,+,1
PHB2P1,processed_pseudogene,chr10,+,1
FAM8A4P,processed_pseudogene,chrY,+,1
ATP5G1P7,processed_pseudogene,chr10,-,1
ATG4AP1,processed_pseudogene,chrX,+,1
AC007551.2,processed_pseudogene,chr7,-,1
RHOQP2,processed_pseudogene,chr2,+,1
XXyac-YM21GA2.1,processed_pseudogene,chr9,+,1
RP11-177A2.5,processed_pseudogene,chr1,-,1
RP11-296O14.1,processed_pseudogene,chr1,+,1
TRIM60P8Y,processed_pseudogene,chrY,+,1
AC098614.3,processed_pseudogene,chr3,-,1
RP11-201O14.2,processed_pseudogene,chr1,+,1
PPP1R26P5,processed_pseudogene,chr22,+,1
MTND4P22,processed_pseudogene,chr2,-,1
MRPL51P2,processed_pseudogene,chr21,-,1
RPL23AP50,processed_pseudogene,chr6,+,1
TIMM9P3,processed_pseudogene,chr13,-,1
OR7L1P,processed_pseudogene,chrX,+,1
FTH1P25,processed_pseudogene,chr1,-,1
DNAJC19P8,processed_pseudogene,chr1,-,1
HNRNPDP1,processed_pseudogene,chrX,+,1
SCAND3P1,processed_pseudogene,chr13,+,1
FAM207CP,processed_pseudogene,chr21,+,1
RP11-204M4.1,processed_pseudogene,chr9,+,1
SDCBPP3,processed_pseudogene,chrX,-,1
NIP7P1,processed_pseudogene,chr10,-,1
VDAC1P10,processed_pseudogene,chr1,+,1
RP11-344N17.2,processed_pseudogene,chrX,-,1
RPS2P32,processed_pseudogene,chr7,+,1
TXNP1,processed_pseudogene,chr10,-,1
PRR13P1,processed_pseudogene,chr1,-,1
GSTO3P,processed_pseudogene,chr3,+,1
RP11-144C15.1,processed_pseudogene,chr3,+,1
RP11-12D5.3,processed_pseudogene,chrX,-,1
BRWD1P3,processed_pseudogene,chr7,-,1
RP5-961K14.1,processed_pseudogene,chrX,-,1
SNX18P2,processed_pseudogene,chr9,-,1
SLC25A6P3,processed_pseudogene,chr1,+,1
CTA-215D11.4,processed_pseudogene,chr1,-,1
ATP5J2P3,processed_pseudogene,chr9,+,1
CICP4,processed_pseudogene,chr20,-,1
LUZP4P1,processed_pseudogene,chr10,+,1
KATNBL1P2,processed_pseudogene,chr1,-,1
RPL34P27,processed_pseudogene,chr13,-,1
NUCKS1P1,processed_pseudogene,chr1,-,1
RP11-179D22.1,processed_pseudogene,chr9,+,1
CTAGE3P,processed_pseudogene,chr13,-,1
RPL23AP93,processed_pseudogene,chr3,-,1
HMGN2P35,processed_pseudogene,chr10,-,1
RP11-544M22.3,processed_pseudogene,chr1,+,1
NDUFB4P10,processed_pseudogene,chr20,-,1
RPS10P21,processed_pseudogene,chr13,-,1
PHKA1P1,processed_pseudogene,chr1,-,1
RP11-302I18.1,processed_pseudogene,chr1,-,1
AC006466.5,processed_pseudogene,chr7,-,1
RPS11P5,processed_pseudogene,chr12,+,1
AC087499.4,processed_pseudogene,chr17,+,1
RP11-191L9.5,processed_pseudogene,chr22,-,1
CYCSP10,processed_pseudogene,chr3,-,1
RP11-534I8.1,processed_pseudogene,chr9,-,1
RP11-746P2.3,processed_pseudogene,chr7,+,1
HSD17B7P1,processed_pseudogene,chr1,+,1
AC097721.1,processed_pseudogene,chr2,-,1
HMGN2P27,processed_pseudogene,chr5,-,1
HSPE1P6,processed_pseudogene,chr1,-,1
RP11-366L18.1,processed_pseudogene,chr1,-,1
TCEB1P4,processed_pseudogene,chrY,+,1
MRPS16P2,processed_pseudogene,chr20,+,1
AC000078.5,processed_pseudogene,chr22,+,1
USP12PY,processed_pseudogene,chrY,+,1
DDX3P1,processed_pseudogene,chrX,+,1
RP4-717M23.2,processed_pseudogene,chr20,+,1
RP13-492C18.1,processed_pseudogene,chr7,-,1
RP11-390F4.2,processed_pseudogene,chr9,+,1
ZNF519P1,processed_pseudogene,chr10,+,1
IPO7P1,processed_pseudogene,chrX,-,1
RP11-90H3.1,processed_pseudogene,chr1,+,1
HSPA8P18,processed_pseudogene,chr3,-,1
HMGN2P20,processed_pseudogene,chr2,+,1
RPS12P18,processed_pseudogene,chr10,+,1
EIF4EP4,processed_pseudogene,chr7,-,1
POLHP1,processed_pseudogene,chr2,-,1
TRIM60P10Y,processed_pseudogene,chrY,+,1
AC092580.2,processed_pseudogene,chr2,-,1
MTCO1P45,processed_pseudogene,chr2,-,1
RP11-296L22.7,processed_pseudogene,chr9,-,1
RP11-136B18.1,processed_pseudogene,chr1,-,1
AHCYP4,processed_pseudogene,chr2,-,1
RPL7P14,processed_pseudogene,chr2,+,1
UBTFL11,processed_pseudogene,chrX,-,1
RPEP4,processed_pseudogene,chr22,+,1
SLC9A3P1,processed_pseudogene,chr10,+,1
SLC25A6P1,processed_pseudogene,chr20,-,1
RP4-597N16.1,processed_pseudogene,chr1,-,1
RP11-42O15.2,processed_pseudogene,chr1,+,1
CRYZP1,processed_pseudogene,chr7,-,1
MTCO1P5,processed_pseudogene,chr3,-,1
RP4-725G10.4,processed_pseudogene,chr7,+,1
AC125238.3,processed_pseudogene,chr2,-,1
AC009237.10,processed_pseudogene,chr2,-,1
MTND5P30,processed_pseudogene,chr2,+,1
FAM204BP,processed_pseudogene,chr1,-,1
AC097523.1,processed_pseudogene,chr2,+,1
RP11-490D19.8,processed_pseudogene,chr9,-,1
EEF1A1P14,processed_pseudogene,chr1,+,1
SAR1AP4,processed_pseudogene,chrX,+,1
RPSAP59,processed_pseudogene,chrX,-,1
RPS15AP6,processed_pseudogene,chr1,-,1
FTH1P6,processed_pseudogene,chr2,+,1
RPL23AP25,processed_pseudogene,chr1,+,1
RPL12P3,processed_pseudogene,chr20,-,1
SUCLA2P2,processed_pseudogene,chr2,-,1
RP11-22C8.1,processed_pseudogene,chr8,+,1
RAB1C,processed_pseudogene,chr9,-,1
RP4-533D7.3,processed_pseudogene,chr1,+,1
UBE2V1P8,processed_pseudogene,chr1,-,1
CTAGE7P,processed_pseudogene,chr10,+,1
ACTBP12,processed_pseudogene,chr1,-,1
ZNF736P3Y,processed_pseudogene,chrY,+,1
RP5-837O21.2,processed_pseudogene,chr1,-,1
AC096649.1,processed_pseudogene,chr2,+,1
RP11-38O23.4,processed_pseudogene,chrX,-,1
SYF2P2,processed_pseudogene,chr9,+,1
HMGA1P8,processed_pseudogene,chr2,-,1
RP3-388M5.8,processed_pseudogene,chr22,-,1
RPS24P6,processed_pseudogene,chr2,+,1
AC007390.4,processed_pseudogene,chr2,-,1
MORF4L1P6,processed_pseudogene,chrX,+,1
RP11-259F16.3,processed_pseudogene,chr10,-,1
EEF1A1P26,processed_pseudogene,chr7,+,1
RP11-863K10.4,processed_pseudogene,chr8,-,1
KLF4P1,processed_pseudogene,chr9,-,1
RPL12P29,processed_pseudogene,chr10,-,1
RPS24P13,processed_pseudogene,chr10,-,1
GS1-304P7.1,processed_pseudogene,chr1,-,1
TMEM256P1,processed_pseudogene,chr10,-,1
MAPRE1P3,processed_pseudogene,chr2,+,1
AC108479.2,processed_pseudogene,chr2,+,1
RPS3AP1,processed_pseudogene,chr21,-,1
GRPEL2P1,processed_pseudogene,chr13,-,1
RP11-414C16.1,processed_pseudogene,chr1,-,1
AC004987.9,processed_pseudogene,chr7,+,1
CNOT7P1,processed_pseudogene,chrX,-,1
HNRNPA1P49,processed_pseudogene,chr6,+,1
RP11-12D5.5,processed_pseudogene,chrX,+,1
GS1-257G1.1,processed_pseudogene,chrX,+,1
MTND6P9,processed_pseudogene,chr2,-,1
CRIP1P1,processed_pseudogene,chr3,+,1
RPL21P134,processed_pseudogene,chrX,+,1
FABP3P2,processed_pseudogene,chr13,-,1
RPSAP63,processed_pseudogene,chrX,+,1
AC009518.2,processed_pseudogene,chr7,-,1
AC006042.8,processed_pseudogene,chr7,+,1
HMGB1P31,processed_pseudogene,chr2,+,1
RP11-558F24.2,processed_pseudogene,chr1,-,1
SNRPEP4,processed_pseudogene,chr19,-,1
PNPT1P2,processed_pseudogene,chr7,-,1
AMMECR1LP1,processed_pseudogene,chr13,+,1
AC009238.8,processed_pseudogene,chr2,+,1
RPS26P2,processed_pseudogene,chr9,-,1
MTND3P10,processed_pseudogene,chr2,+,1
AC009362.2,processed_pseudogene,chr7,+,1
RPL7AP61,processed_pseudogene,chr13,+,1
RP11-341B24.3,processed_pseudogene,chr10,+,1
HIGD1AP4,processed_pseudogene,chr2,-,1
EIF4A1P1,processed_pseudogene,chr21,-,1
AC109815.2,processed_pseudogene,chr2,+,1
RPS6P12,processed_pseudogene,chr9,-,1
MTCO1P54,processed_pseudogene,chr2,-,1
HMGA1P5,processed_pseudogene,chr10,-,1
RP11-573G6.2,processed_pseudogene,chr10,+,1
PPIAP32,processed_pseudogene,chr10,-,1
EEF1A1P34,processed_pseudogene,chr20,-,1
PFN1P1,processed_pseudogene,chr1,-,1
AC068287.1,processed_pseudogene,chr2,-,1
RNFT1P2,processed_pseudogene,chr1,-,1
AC016696.1,processed_pseudogene,chr2,-,1
UBE2FP3,processed_pseudogene,chr1,+,1
ATP6V1G1P4,processed_pseudogene,chr10,+,1
ERP29P1,processed_pseudogene,chr20,-,1
RPS7P9,processed_pseudogene,chr10,-,1
RPL30P15,processed_pseudogene,chrX,+,1
AC092664.1,processed_pseudogene,chr2,+,1
MTND4P20,processed_pseudogene,chr10,-,1
RPS2P48,processed_pseudogene,chr17,-,1
AK4P3,processed_pseudogene,chr12,-,1
RP11-324F21.1,processed_pseudogene,chr7,-,1
RP4-569D19.5,processed_pseudogene,chr22,-,1
PRKAR1AP1,processed_pseudogene,chr1,+,1
TARDBPP1,processed_pseudogene,chr20,-,1
RP11-296A18.5,processed_pseudogene,chr1,-,1
AC012065.5,processed_pseudogene,chr2,-,1
RP4-781L3.1,processed_pseudogene,chr1,-,1
KRT18P67,processed_pseudogene,chr9,+,1
EIF3FP3,processed_pseudogene,chr2,+,1
AC019050.1,processed_pseudogene,chr2,+,1
RP11-344P13.3,processed_pseudogene,chr1,+,1
RP1-296G17.3,processed_pseudogene,chrX,-,1
AGGF1P2,processed_pseudogene,chr10,+,1
HMGA1P6,processed_pseudogene,chr13,+,1
AC013262.1,processed_pseudogene,chr2,-,1
RPL17P11,processed_pseudogene,chr2,-,1
XXyac-YR12DB5.1,processed_pseudogene,chrX,+,1
MTATP6P14,processed_pseudogene,chr1,-,1
RP4-667H12.4,processed_pseudogene,chr1,+,1
RP11-336N8.1,processed_pseudogene,chr9,-,1
AC125238.2,processed_pseudogene,chr2,-,1
RPL35AP31,processed_pseudogene,chr13,+,1
U40455.1,processed_pseudogene,chrX,-,1
ST6GALNAC4P1,processed_pseudogene,chr13,-,1
KRT18P62,processed_pseudogene,chr22,+,1
RAD1P2,processed_pseudogene,chr1,-,1
EEF1A1P6,processed_pseudogene,chr7,-,1
RP11-45P22.2,processed_pseudogene,chr10,-,1
PAXBP1P1,processed_pseudogene,chr7,+,1
AC009963.3,processed_pseudogene,chr2,-,1
HNRNPA1P60,processed_pseudogene,chr11,-,1
HNRNPLP1,processed_pseudogene,chr6,-,1
RP1-128O3.5,processed_pseudogene,chr6,+,1
RP11-570P14.1,processed_pseudogene,chr1,-,1
RPL7P35,processed_pseudogene,chr10,-,1
PHBP5,processed_pseudogene,chr7,-,1
RANP8,processed_pseudogene,chr13,-,1
RFC5P1,processed_pseudogene,chr9,+,1
MKNK2P1,processed_pseudogene,chr10,-,1
RPL31P47,processed_pseudogene,chr11,+,1
CHTF8P1,processed_pseudogene,chrX,+,1
EIF3KP2,processed_pseudogene,chr3,+,1
CYCSP33,processed_pseudogene,chr13,+,1
CYCSP44,processed_pseudogene,chrX,+,1
CYCSP35,processed_pseudogene,chr13,-,1
LSM1P1,processed_pseudogene,chr9,-,1
RP11-452D2.1,processed_pseudogene,chr9,-,1
NFU1P2,processed_pseudogene,chr1,+,1
RP3-486I3.4,processed_pseudogene,chr6,-,1
KRT8P39,processed_pseudogene,chr12,+,1
RP11-548N1.1,processed_pseudogene,chr1,+,1
RP11-42D20.1,processed_pseudogene,chr3,-,1
RP11-459D20.1,processed_pseudogene,chr9,+,1
EIF4EP1,processed_pseudogene,chr20,+,1
KRT8P15,processed_pseudogene,chr2,-,1
RP4-635A23.3,processed_pseudogene,chr1,-,1
AC115617.2,processed_pseudogene,chrX,-,1
RP11-763B22.3,processed_pseudogene,chr1,+,1
CYP51A1P2,processed_pseudogene,chr13,-,1
BTF3P5,processed_pseudogene,chr2,-,1
MTND2P29,processed_pseudogene,chr1,+,1
RP11-343B5.1,processed_pseudogene,chr3,-,1
JTBP1,processed_pseudogene,chr22,+,1
HNRNPA1P42,processed_pseudogene,chr1,+,1
AC006328.9,processed_pseudogene,chrY,-,1
PGAM1P11,processed_pseudogene,chr1,+,1
RP11-565J7.1,processed_pseudogene,chr1,+,1
RP1-302D9.5,processed_pseudogene,chr22,+,1
GOT2P5,processed_pseudogene,chrY,+,1
NENFP1,processed_pseudogene,chr1,-,1
AC010095.6,processed_pseudogene,chr2,-,1
CICP1,processed_pseudogene,chrY,+,1
CICP7,processed_pseudogene,chr1,+,1
NDUFA5P4,processed_pseudogene,chr9,-,1
CALM2P4,processed_pseudogene,chr13,-,1
RP11-497J7.1,processed_pseudogene,chrX,+,1
NDUFS5P3,processed_pseudogene,chr1,+,1
RP11-571F15.3,processed_pseudogene,chr9,-,1
AC083899.1,processed_pseudogene,chr2,-,1
RP11-184I16.3,processed_pseudogene,chr1,+,1
FDPSP6,processed_pseudogene,chr21,+,1
HNRNPA1P27,processed_pseudogene,chrX,-,1
RP5-1106H14.1,processed_pseudogene,chr7,-,1
PIEZO1P1,processed_pseudogene,chr20,-,1
CTD-2183H9.3,processed_pseudogene,chrX,-,1
EBAG9P1,processed_pseudogene,chr10,-,1
RP11-312J18.7,processed_pseudogene,chr1,+,1
AC107083.1,processed_pseudogene,chr2,-,1
RP11-20E23.1,processed_pseudogene,chr10,-,1
RPL22P11,processed_pseudogene,chr2,-,1
RP11-342M1.7,processed_pseudogene,chr1,-,1
MTND4P28,processed_pseudogene,chr2,+,1
RP4-808O4.2,processed_pseudogene,chrX,+,1
EIF4EBP2P1,processed_pseudogene,chr20,-,1
RP11-379P1.4,processed_pseudogene,chr9,+,1
AC074367.1,processed_pseudogene,chr2,-,1
RP11-68I18.2,processed_pseudogene,chr1,-,1
RP11-252C24.2,processed_pseudogene,chr10,-,1
RP11-380I20.2,processed_pseudogene,chr9,-,1
H2AFZP6,processed_pseudogene,chr22,-,1
RP11-573M3.4,processed_pseudogene,chr11,-,1
CICP2,processed_pseudogene,chrY,-,1
AC016691.2,processed_pseudogene,chr2,-,1
RPL36AP13,processed_pseudogene,chr2,+,1
CICP27,processed_pseudogene,chr1,+,1
AC104772.1,processed_pseudogene,chr2,-,1
AC009414.1,processed_pseudogene,chr2,-,1
AC007969.5,processed_pseudogene,chr2,-,1
MTCO1P20,processed_pseudogene,chr22,+,1
PSMA6P3,processed_pseudogene,chr21,-,1
RP11-777J24.1,processed_pseudogene,chr8,-,1
ZNF90P3,processed_pseudogene,chr7,-,1
CDC27P1,processed_pseudogene,chr2,+,1
CTD-2057J6.1,processed_pseudogene,chr5,-,1
RP11-449J3.3,processed_pseudogene,chr10,+,1
RP11-268G12.2,processed_pseudogene,chrX,-,1
MOB1AP2,processed_pseudogene,chrX,+,1
RP11-66C24.1,processed_pseudogene,chr9,+,1
FAM58BP,processed_pseudogene,chr1,+,1
AC017078.1,processed_pseudogene,chr2,-,1
EIF4HP1,processed_pseudogene,chr7,-,1
RP11-96F8.1,processed_pseudogene,chr10,+,1
ETF1P3,processed_pseudogene,chrX,+,1
EIF3LP2,processed_pseudogene,chr10,+,1
DPH3P1,processed_pseudogene,chr20,+,1
RP11-389O22.4,processed_pseudogene,chr1,+,1
CYCSP48,processed_pseudogene,chrY,+,1
RP11-307L3.2,processed_pseudogene,chr9,+,1
ADH5P4,processed_pseudogene,chr6,-,1
MGAT2P1,processed_pseudogene,chrX,-,1
AC009302.2,processed_pseudogene,chr2,+,1
RPSAP27,processed_pseudogene,chr2,+,1
AC005033.6,processed_pseudogene,chr2,-,1
RPL7P44,processed_pseudogene,chr13,-,1
RP1-136J15.5,processed_pseudogene,chrX,+,1
GAPDHP68,processed_pseudogene,chr7,+,1
RP11-182I10.2,processed_pseudogene,chr1,+,1
RP11-497J7.2,processed_pseudogene,chrX,+,1
ERVWE2,processed_pseudogene,chrX,+,1
RPL17P35,processed_pseudogene,chr10,-,1
LONRF2P2,processed_pseudogene,chr13,+,1
RP11-425D10.1,processed_pseudogene,chr6,+,1
UBE2V1P4,processed_pseudogene,chr9,+,1
GTF2F2P2,processed_pseudogene,chr1,-,1
CTC-575D19.1,processed_pseudogene,chr5,+,1
UBE2Q2P10,processed_pseudogene,chr8,-,1
RP11-715L17.1,processed_pseudogene,chr7,-,1
RPS15AP40,processed_pseudogene,chrX,-,1
RPSAP13,processed_pseudogene,chr14,-,1
MT1XP1,processed_pseudogene,chr1,-,1
RP11-63P12.2,processed_pseudogene,chr9,+,1
RPL21P38,processed_pseudogene,chr2,+,1
AC114755.4,processed_pseudogene,chr2,+,1
RPL12P45,processed_pseudogene,chr1,+,1
AC114973.1,processed_pseudogene,chr5,-,1
LINC00265-3P,processed_pseudogene,chrY,-,1
RP5-1114G22.1,processed_pseudogene,chr1,+,1
RP11-336N8.2,processed_pseudogene,chr9,+,1
RCC2P3,processed_pseudogene,chr7,+,1
FTLP15,processed_pseudogene,chr7,-,1
AHCYP3,processed_pseudogene,chr2,-,1
BTF3P6,processed_pseudogene,chr21,-,1
UBE2SP1,processed_pseudogene,chr17,-,1
RPS20P10,processed_pseudogene,chr2,-,1
RP11-823P9.3,processed_pseudogene,chr5,-,1
AC002553.4,processed_pseudogene,chr17,+,1
FDPSP2,processed_pseudogene,chr7,-,1
RP4-735N21.1,processed_pseudogene,chr1,+,1
RPSAP14,processed_pseudogene,chrX,+,1
RP11-401E9.3,processed_pseudogene,chr10,-,1
GDI2P2,processed_pseudogene,chr1,+,1
AC013439.4,processed_pseudogene,chr2,-,1
SETP5,processed_pseudogene,chr9,-,1
AC000111.5,processed_pseudogene,chr7,-,1
RP11-543B16.1,processed_pseudogene,chr1,+,1
GAPDHP22,processed_pseudogene,chr13,-,1
PPP1R2P2,processed_pseudogene,chr21,+,1
RPL5P34,processed_pseudogene,chr22,-,1
GNG10P1,processed_pseudogene,chr10,-,1
RP11-214N15.5,processed_pseudogene,chr10,-,1
RBPMS2P1,processed_pseudogene,chr6,-,1
TMEM97P1,processed_pseudogene,chr21,+,1
RPS3AP44,processed_pseudogene,chr13,+,1
RAC1P8,processed_pseudogene,chr13,+,1
TXNP6,processed_pseudogene,chr4,-,1
NDUFA5P7,processed_pseudogene,chrX,-,1
RP11-254B13.4,processed_pseudogene,chr12,-,1
RP11-345I18.1,processed_pseudogene,chr1,+,1
RP11-452D2.2,processed_pseudogene,chr9,+,1
RP11-56M3.1,processed_pseudogene,chr10,-,1
AC108059.1,processed_pseudogene,chr2,+,1
FAM96AP1,processed_pseudogene,chr3,-,1
EDDM3CP,processed_pseudogene,chr2,-,1
AC007969.4,processed_pseudogene,chr2,+,1
MTND4P26,processed_pseudogene,chr2,+,1
RPL5P10,processed_pseudogene,chr3,-,1
GAPDHP53,processed_pseudogene,chr20,+,1
RP11-420H19.1,processed_pseudogene,chr7,+,1
AC011816.1,processed_pseudogene,chr3,-,1
RPL35AP,processed_pseudogene,chr20,-,1
RP11-183G22.1,processed_pseudogene,chr1,+,1
TCEB1P10,processed_pseudogene,chrY,-,1
CTD-3216D2.4,processed_pseudogene,chr20,-,1
RPS15AP7,processed_pseudogene,chr1,+,1
RPS15AP11,processed_pseudogene,chr1,-,1
KRT19P4,processed_pseudogene,chr10,+,1
RP11-288E14.2,processed_pseudogene,chr11,+,1
TPT1P1,processed_pseudogene,chr21,+,1
RP11-115A15.2,processed_pseudogene,chr1,+,1
RPL7P36,processed_pseudogene,chr10,+,1
RP11-145A3.4,processed_pseudogene,chr1,+,1
RP11-288G3.4,processed_pseudogene,chr6,-,1
RPL13AP6,processed_pseudogene,chr10,-,1
AC079248.1,processed_pseudogene,chr2,-,1
AF228730.8,processed_pseudogene,chr8,-,1
GPM6BP3,processed_pseudogene,chr22,+,1
RHBDF1P1,processed_pseudogene,chr3,-,1
EEF1GP8,processed_pseudogene,chr4,+,1
RP13-88F20.1,processed_pseudogene,chrX,-,1
TCEB1P8,processed_pseudogene,chrY,-,1
RPL23AP83,processed_pseudogene,chrX,-,1
COX6CP13,processed_pseudogene,chr1,-,1
NAP1L4P3,processed_pseudogene,chr13,+,1
AKAP8P1,processed_pseudogene,chr9,+,1
TCEB2P1,processed_pseudogene,chr13,-,1
RPEP2,processed_pseudogene,chr3,+,1
RBPMSLP,processed_pseudogene,chr21,-,1
MTND4LP11,processed_pseudogene,chr10,-,1
TCEB2P4,processed_pseudogene,chr10,-,1
RP11-730A19.9,processed_pseudogene,chr10,-,1
HSPA8P1,processed_pseudogene,chrX,-,1
MTCYBP1,processed_pseudogene,chrY,+,1
AIMP1P1,processed_pseudogene,chr20,+,1
AC099799.1,processed_pseudogene,chr2,+,1
RP11-57C13.5,processed_pseudogene,chr10,+,1
BMI1P1,processed_pseudogene,chrX,-,1
RP11-330C7.4,processed_pseudogene,chr1,-,1
PIGPP2,processed_pseudogene,chr1,+,1
FHP1,processed_pseudogene,chr13,+,1
RBPJP7,processed_pseudogene,chr9,+,1
NDUFS5P2,processed_pseudogene,chr1,-,1
RPL7L1P1,processed_pseudogene,chr13,-,1
NCLP2,processed_pseudogene,chrX,-,1
CFL1P8,processed_pseudogene,chr13,+,1
RP4-775C13.1,processed_pseudogene,chr20,+,1
RP11-100E13.3,processed_pseudogene,chr1,-,1
RPL7P13,processed_pseudogene,chr2,+,1
PTCD2P2,processed_pseudogene,chr10,+,1
SOD2P1,processed_pseudogene,chr1,-,1
CTC-507E12.1,processed_pseudogene,chr5,+,1
AP000936.1,processed_pseudogene,chr11,-,1
RP11-338N12.1,processed_pseudogene,chr9,+,1
RPL36P20,processed_pseudogene,chr3,+,1
RP1-138B7.4,processed_pseudogene,chr20,-,1
RPL30P2,processed_pseudogene,chr2,+,1
COX7BP2,processed_pseudogene,chr20,-,1
SDR42E1P3,processed_pseudogene,chr9,+,1
GAPDHP49,processed_pseudogene,chr2,-,1
RP11-761N21.2,processed_pseudogene,chr3,+,1
OR1AA1P,processed_pseudogene,chrX,+,1
RP11-54D18.4,processed_pseudogene,chr9,+,1
SGO1P2,processed_pseudogene,chr7,-,1
SLC25A18P1,processed_pseudogene,chr10,+,1
SAPCD2P4,processed_pseudogene,chr7,-,1
